business_id,bar_nightlife_crowd,bar_vibes_live_music,brunch_breakfast,cafe_coffee_reading_terminal,casual_payment_ordering,chef_specials_platters,cocktail_bars_speakeasy,comfort_food_sandwiches,craft_beer_sports_bars,customer_service_quality,desserts_bakery,dinner_happy_hour,fine_dining_tasting_menu,food_trucks_trendy_spots,markets_grocery_shopping,outdoor_street_seating,overall_food_quality,philly_neighborhood_gems,quick_fresh_lunch,service_wait_time,small_plates_cocktails,spicy_asian_flavors,unique_quirky_dining,value_portion_size,venue_location_experience,business_name,address,categories,business_stars,review_count,is_open,hours_monday,hours_tuesday,hours_wednesday,hours_thursday,hours_friday,hours_saturday,hours_sunday,dominant_topic,dominant_topic_score,topic_diversity,overall_sentiment,romantic_score,solo_work_score,family_score,group_celebration_score,hidden_gem_score
-Ti5pwj6mA99khsxxur8aQ,0.0215,0.0223,0.0271,0.0165,0.0153,0.0256,0.0231,0.0701,0.0165,0.0147,0.0231,0.1404,0.0803,0.0221,0.0137,0.0288,0.0427,0.1459,0.0383,0.2432,0.0291,0.0156,0.0323,0.0399,0.0222,Ambrosia Ristorante BYOB,231 S 24th St,"Restaurants, Italian",4.5,141,1,17:0-22:0,17:0-22:0,17:0-22:0,17:0-22:0,17:0-22:0,17:0-22:0,17:0-21:0,Fine Dining & Tasting Menu,0.2432,5,0.8728,0.0474,0.2154,0.2212,0.0223,0.08
HUVLNeBs32cInBZVFS90RA,0.0217,0.0553,0.0563,0.0143,0.0164,0.0315,0.0323,0.0594,0.0414,0.0173,0.0192,0.1181,0.0388,0.0226,0.02,0.0175,0.0419,0.1472,0.0427,0.2429,0.021,0.0135,0.0295,0.0522,0.0161,Bardot Cafe,447 Poplar St,"French, Cocktail Bars, Wine Bars, Lounges, American (New), Cafes, Beer Bar, Bars, Nightlife, Restaurants",4.5,154,1,0:0-0:0,17:0-23:0,17:0-23:0,17:0-1:45,17:0-1:45,17:0-1:45,,Brunch & Breakfast,0.2429,7,0.8837,0.0312,0.2156,0.2296,0.0355,0.0834
w9GI3f5z_I3h1FvJo0oc8A,0.0338,0.0246,0.0363,0.0141,0.0273,0.0339,0.0217,0.1324,0.0119,0.0178,0.0138,0.0675,0.0243,0.0248,0.017,0.0184,0.0469,0.1279,0.0643,0.2577,0.0166,0.0155,0.018,0.0628,0.0204,Hemo's,37th St And Spruce St,"Food Stands, Restaurants, Sandwiches",4.0,67,1,9:0-15:30,9:0-15:30,9:0-15:30,9:0-15:30,9:0-15:30,,,Comfort Food & Sandwiches,0.2577,6,0.7077,0.0219,0.2196,0.2291,0.0268,0.0754
wHkYLlZyPXllrQRlvidUlg,0.0203,0.0257,0.022,0.0174,0.0311,0.0238,0.0302,0.1047,0.0214,0.0277,0.0155,0.0707,0.0229,0.0228,0.0182,0.0203,0.0493,0.1546,0.0482,0.2725,0.0156,0.0154,0.0207,0.058,0.0208,Campo's Philly Cheesesteaks,214 Market St,"Food, Local Flavor, Sandwiches, Restaurants, Fast Food, Delis, Cheesesteaks",3.5,686,1,9:30-22:0,9:30-22:0,9:30-22:0,9:30-22:0,9:30-22:0,9:30-22:0,9:30-21:0,Comfort Food & Sandwiches,0.2725,5,0.4896,0.0248,0.2191,0.222,0.0254,0.0854
_wcOVX6PPvhXGMpUa2Ij8A,0.0221,0.0298,0.0613,0.0224,0.0258,0.0277,0.0314,0.0618,0.0187,0.0266,0.0388,0.0826,0.0243,0.0249,0.0179,0.022,0.0501,0.1376,0.0391,0.2921,0.02,0.0149,0.0293,0.0468,0.0201,Melrose Diner,1501 Snyder Ave,"Bakeries, Restaurants, Sandwiches, Diners, Food",3.0,287,1,9:0-19:0,9:0-19:0,9:0-19:0,9:0-19:0,9:0-19:0,9:0-19:0,9:0-19:0,Brunch & Breakfast,0.2921,6,0.4903,0.0262,0.2185,0.2306,0.0277,0.0779
wocwfwSFrNfYJRyfYSi1Cw,0.0253,0.0219,0.0389,0.0808,0.022,0.0295,0.0241,0.1009,0.0172,0.0243,0.0374,0.0646,0.0244,0.0281,0.0182,0.0213,0.0441,0.1334,0.0517,0.2374,0.0259,0.0296,0.0261,0.0462,0.0219,Knead Bagels,725 Walnut St,"Restaurants, Bagels, Coffee & Tea, Sandwiches, Food, Soup, Salad",4.5,367,1,,7:30-13:30,7:30-13:30,7:30-13:30,7:30-13:30,7:30-13:30,,"Cafe, Coffee & Reading Terminal",0.2374,6,0.7712,0.0235,0.2508,0.225,0.0239,0.075
YWI4lRnWY7-dFBAei7JAEQ,0.0329,0.0724,0.0191,0.0184,0.0329,0.0231,0.0209,0.0378,0.0183,0.0241,0.0191,0.0963,0.0197,0.0276,0.0337,0.0401,0.0504,0.1388,0.0296,0.2816,0.018,0.0124,0.0278,0.0491,0.0403,Academy of Music,240 S Broad St,"Performing Arts, Music Venues, Nightlife, Arts & Entertainment, Musical Instruments & Teachers, Shopping",4.0,164,1,,,,,,,,Bar Vibes & Live Music,0.2816,5,0.6663,0.0252,0.2115,0.2243,0.0406,0.0786
GCPecqD-FJis5SxrqKwSZw,0.0161,0.0252,0.055,0.024,0.0259,0.0261,0.0289,0.069,0.0178,0.0318,0.015,0.0689,0.0223,0.0212,0.0159,0.0162,0.0404,0.149,0.0667,0.2762,0.0156,0.0138,0.0263,0.0695,0.0281,Bill's Breakfast & Lunch,1312 Sansom St,"Breakfast & Brunch, Sandwiches, American (Traditional), Restaurants",4.0,132,1,6:0-15:0,6:0-15:0,6:0-15:0,6:0-15:0,6:0-15:0,,,Brunch & Breakfast,0.2762,7,0.7057,0.0231,0.2288,0.2348,0.0233,0.0883
JCFoc-tILAHIf-zqSatBdA,0.0188,0.025,0.0393,0.0164,0.017,0.0329,0.0383,0.1035,0.0154,0.0185,0.0137,0.0699,0.0336,0.0375,0.0152,0.0169,0.0548,0.1308,0.0531,0.2922,0.0127,0.0124,0.0269,0.0625,0.0221,Trev's Philly Steaks,9970 Roosevelt Blvd,"American (Traditional), Steakhouses, Cheesesteaks, Restaurants, Sandwiches, Caterers, Event Planning & Services",3.0,80,1,0:0-0:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-0:0,11:0-0:0,11:0-21:0,Food Trucks & Trendy Spots,0.2922,7,0.4412,0.0311,0.2204,0.2263,0.0275,0.0791
HW5LkI9qeqVDwHqhd00_8A,0.0224,0.0571,0.0386,0.0168,0.0182,0.0258,0.0286,0.0589,0.0283,0.0259,0.0201,0.1028,0.0263,0.0247,0.0159,0.0227,0.0524,0.1331,0.0485,0.2699,0.0282,0.0154,0.0295,0.0497,0.0239,The Happy Rooster,118 S 16th St,"Bars, Nightlife, American (New), Pubs, Restaurants",3.5,251,1,11:30-2:0,11:30-2:0,11:30-2:0,11:30-2:0,11:30-2:0,11:30-2:0,11:30-2:0,Bar Vibes & Live Music,0.2699,6,0.5989,0.0262,0.2185,0.2253,0.035,0.077
WMkiheTT-8kRslImVLWMVw,0.0238,0.0524,0.0491,0.0188,0.0202,0.0239,0.0279,0.0593,0.0509,0.0191,0.0186,0.1011,0.0303,0.0244,0.0176,0.0213,0.0604,0.1318,0.0428,0.2623,0.0217,0.0155,0.0273,0.0435,0.0203,Standard Tap,901 N 2nd St,"Local Flavor, American (Traditional), Restaurants, Burgers, Desserts, Breakfast & Brunch, Food, American (New), Gastropubs, Beer, Wine & Spirits, Nightlife, Bars, Pubs",4.0,785,1,0:0-0:0,11:0-0:0,16:0-22:0,16:0-22:0,16:0-23:0,11:0-23:0,11:0-21:0,Craft Beer & Sports Bars,0.2623,7,0.743,0.0272,0.2175,0.2265,0.0338,0.074
UfNta35H6m-z2xN9XFI77g,0.0203,0.0246,0.0218,0.014,0.0188,0.0281,0.026,0.0673,0.0153,0.0166,0.0188,0.097,0.0405,0.0277,0.0158,0.02,0.0466,0.1495,0.0628,0.2607,0.0148,0.0473,0.0253,0.0586,0.017,House of Thai Cuisine,3520 Cottman Ave,"Restaurants, Thai",4.5,266,1,,11:0-21:30,11:0-21:30,11:0-21:30,11:0-22:30,13:0-22:30,13:0-21:30,Spicy & Asian Flavors,0.2607,6,0.7885,0.0303,0.2218,0.2229,0.0236,0.085
HzKZlWwxEGgGjCL7M1Kacg,0.0239,0.0385,0.0237,0.0221,0.0165,0.0337,0.0358,0.0724,0.0128,0.0213,0.0311,0.1013,0.0375,0.0248,0.0168,0.0152,0.0507,0.1289,0.037,0.2986,0.0266,0.0143,0.0307,0.0526,0.0267,Hugo's Frog Bar & Chop House,"1001 N Delaware Ave, 1001 N Delaware Ave","Lounges, Bars, Steakhouses, Restaurants, Nightlife",3.5,66,1,,,16:0-22:0,16:0-22:0,16:0-22:0,16:0-22:0,16:0-22:0,Cocktail Bars & Speakeasy,0.2986,6,0.5025,0.0313,0.2174,0.2188,0.0324,0.0765
gLpp7kjR9Zg6ypG2lRjAYg,0.0193,0.0439,0.0806,0.018,0.0195,0.0221,0.0267,0.061,0.043,0.0177,0.0193,0.1098,0.0307,0.0191,0.0167,0.0218,0.0451,0.1476,0.049,0.2617,0.0225,0.0154,0.0302,0.0436,0.02,McCrossen's Tavern,529 N 20th St,"Nightlife, Restaurants, Gastropubs, Bars, Pubs, American (Traditional)",4.0,293,1,12:0-2:0,12:0-2:0,12:0-2:0,12:0-2:0,12:0-2:0,12:0-2:0,12:0-2:0,Brunch & Breakfast,0.2617,5,0.7442,0.0271,0.2198,0.2363,0.0293,0.0812
BtcOytu968lkyyO0IICv8w,0.0262,0.0485,0.0277,0.0194,0.023,0.0216,0.0288,0.0391,0.0787,0.0225,0.0142,0.0922,0.0215,0.0315,0.0184,0.0447,0.0349,0.1504,0.0397,0.248,0.0193,0.0134,0.0254,0.0441,0.0273,Wissahickon Brewing Company,3705 W Schoolhouse Ln,"Pubs, Bars, Breweries, Food, Nightlife",4.0,95,1,0:0-0:0,15:0-22:0,15:0-22:0,15:0-23:0,15:0-1:0,12:0-23:0,12:0-18:0,Craft Beer & Sports Bars,0.248,4,0.8113,0.0299,0.2164,0.2247,0.0338,0.081
hNlvlGJsTXLJxeJ4RPsaeA,0.0199,0.0338,0.0202,0.012,0.0182,0.0409,0.0255,0.0719,0.0173,0.0308,0.0166,0.0936,0.0401,0.0198,0.0145,0.0164,0.0433,0.1337,0.0459,0.3003,0.0153,0.023,0.0179,0.053,0.0163,Alamodak Restaurant and Hookah Lounge,161 Cecil B Moore Ave,"Nightlife, Salad, Hookah Bars, Bars, Restaurants, Middle Eastern, Halal, Arabic, Beer Bar, Mediterranean",4.0,98,1,16:30-0:0,16:30-0:0,,16:30-0:0,16:15-1:0,17:0-1:0,16:30-0:0,Chef Specials & Platters,0.3003,5,0.6765,0.0291,0.2158,0.2201,0.026,0.0748
BIxkykL8meGkcNszRNWSyA,0.0322,0.0242,0.0151,0.0242,0.0172,0.0316,0.0317,0.0902,0.0177,0.0228,0.017,0.0734,0.0419,0.0267,0.0418,0.024,0.0517,0.1476,0.0692,0.2466,0.0273,0.0158,0.0394,0.0433,0.0145,Talluto's Authentic Italian Food,944 S 9th St,"Restaurants, Specialty Food, Italian, Food, Cheese Shops, Grocery, Ethnic Food",4.5,63,1,8:30-17:0,8:30-17:0,8:30-17:0,8:30-17:0,8:30-17:0,8:30-17:0,8:30-15:0,Markets & Grocery Shopping,0.2466,6,0.7104,0.0339,0.2264,0.216,0.0296,0.0839
f2RHDdXezLHILvM7v1xOVA,0.0196,0.0241,0.0301,0.019,0.0228,0.0246,0.0275,0.077,0.018,0.017,0.0149,0.0838,0.0294,0.0253,0.021,0.0218,0.0466,0.1398,0.0548,0.2636,0.0577,0.027,0.0281,0.0622,0.0175,Taqueria La Veracruzana,908 Washington Ave,"Mexican, Restaurants",4.0,472,1,9:0-23:0,9:0-23:0,9:0-23:0,9:0-23:0,9:0-23:0,9:0-23:0,9:0-23:0,Small Plates & Cocktails,0.2636,7,0.7597,0.0268,0.222,0.2266,0.0237,0.083
JVZ_c3k01uAIas5B61iISg,0.0219,0.0579,0.0292,0.025,0.0263,0.0222,0.0287,0.0607,0.021,0.0217,0.0168,0.1,0.0237,0.0274,0.0176,0.0174,0.0484,0.1281,0.044,0.3054,0.0241,0.0155,0.0214,0.0482,0.0283,Hard Rock Cafe,1113 Market St,"Restaurants, Nightlife, Sandwiches, Music Venues, Arts & Entertainment, American (New), Cafes, Burgers, American (Traditional)",3.0,382,1,12:0-21:0,12:0-21:0,12:0-21:0,12:0-21:0,12:0-22:0,12:0-22:0,12:0-21:0,Bar Vibes & Live Music,0.3054,5,0.4361,0.0239,0.2213,0.221,0.0351,0.0721
4zQV6v8TwEYMwI9Ekdf19g,0.0191,0.0237,0.0494,0.0191,0.0255,0.0313,0.0209,0.0785,0.0181,0.0208,0.0412,0.1286,0.0412,0.0162,0.0225,0.0223,0.0491,0.1332,0.0407,0.2424,0.0272,0.0206,0.0235,0.0474,0.0194,Figs,2501 Meredith St,"Moroccan, Restaurants",4.0,300,1,,16:0-21:0,16:0-21:0,16:0-21:0,16:0-21:0,16:0-21:0,16:0-21:0,Desserts & Bakery,0.2424,4,0.8514,0.0294,0.2179,0.2293,0.0211,0.0746
xxL2_-oExRCwKs_Nyr0KiQ,0.0275,0.0667,0.0469,0.0184,0.0232,0.0233,0.0275,0.0533,0.0382,0.0242,0.0168,0.0993,0.0227,0.0256,0.0185,0.0186,0.0482,0.1364,0.0401,0.2754,0.0261,0.0156,0.0288,0.0501,0.0248,Fadó Irish Pub,1500 Locust St,"Pubs, Restaurants, Bars, Nightlife, Irish, Irish Pub",3.5,454,1,11:30-22:0,11:30-22:0,11:30-0:0,11:30-0:0,11:30-1:0,10:0-2:0,10:0-16:0,Bar Vibes & Live Music,0.2754,6,0.7012,0.0234,0.2157,0.2273,0.0393,0.0782
gKRSLjhqulJtaAj9t4IJJA,0.0335,0.0581,0.0,0.0241,0.0374,0.0229,0.0283,0.0506,0.0404,0.0246,0.0171,0.0886,0.0273,0.0307,0.0255,0.0224,0.0486,0.1246,0.0333,0.2875,0.0233,0.0119,0.0299,0.0505,0.0224,Monkey Bar and Restaurant,301 Chestnut St,"Beer, Wine & Spirits, Food",2.0,68,1,12:0-2:0,12:0-2:0,12:0-2:0,12:0-2:0,12:0-2:0,12:30-2:0,14:0-23:0,Craft Beer & Sports Bars,0.2875,6,0.1984,0.0264,0.2153,0.214,0.0391,0.074
ntiIq1FNqduOyyowMFGh5A,0.0214,0.0247,0.0249,0.0162,0.0271,0.0261,0.0273,0.0785,0.0149,0.0165,0.0168,0.0817,0.0361,0.0231,0.0166,0.0245,0.0557,0.1375,0.057,0.2614,0.0171,0.0458,0.0237,0.0593,0.0193,Nan Zhou Hand Drawn Noodle House,1022 Race St,"Specialty Food, Noodles, Ethnic Food, Chinese, Comfort Food, Restaurants, Food",4.0,2188,1,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:30,11:0-22:30,11:0-22:0,Spicy & Asian Flavors,0.2614,7,0.7957,0.0301,0.2209,0.2247,0.0245,0.0799
-5Rah4ZvWsDu4oilUZxhtw,0.0239,0.1199,0.0261,0.0241,0.0241,0.0249,0.0227,0.0449,0.0282,0.025,0.0188,0.0991,0.0227,0.0207,0.026,0.0267,0.0446,0.1246,0.0368,0.2656,0.0234,0.0189,0.023,0.0479,0.0302,World Cafe Live,3025 Walnut St,"Nightlife, Arts & Entertainment, Restaurants, Music Venues, American (New), Bars, Jazz & Blues",4.0,350,1,0:0-0:0,10:0-22:0,10:0-22:0,10:0-22:0,10:0-22:0,10:0-22:0,,Bar Vibes & Live Music,0.2656,4,0.7501,0.0237,0.2183,0.223,0.0523,0.0711
kzy0Kf7z1ucbL2sVbfAFsg,0.0207,0.0417,0.033,0.018,0.0332,0.0215,0.0286,0.0657,0.0186,0.0248,0.0322,0.1241,0.0353,0.0234,0.0206,0.0186,0.0561,0.1304,0.033,0.2994,0.024,0.0179,0.0217,0.0415,0.0279,Ruth's Chris Steak House,1800 Market St,"Wine Bars, Seafood, Restaurants, Steakhouses, Bars, American (Traditional), Nightlife",3.5,184,1,15:0-22:0,16:30-21:0,16:30-21:0,16:30-21:0,16:0-22:0,15:0-22:0,15:0-21:0,Dinner & Happy Hour,0.2994,5,0.6399,0.0288,0.2148,0.2204,0.0298,0.0711
32It9NN_lVismU9tcuLB0A,0.0226,0.0483,0.0545,0.0159,0.0242,0.0206,0.0223,0.0802,0.0187,0.0227,0.0236,0.1131,0.0272,0.0263,0.0165,0.017,0.0405,0.1346,0.0372,0.2941,0.0198,0.0202,0.0222,0.0433,0.0206,Relish,7152 Ogontz Ave,"Caterers, Arts & Entertainment, Nightlife, Desserts, Jazz & Blues, Event Planning & Services, Food, Seafood, Southern, Soul Food, Restaurants",3.5,368,1,,,,16:0-21:0,16:0-22:0,16:0-22:0,15:0-21:0,Brunch & Breakfast,0.2941,5,0.693,0.0229,0.2146,0.2283,0.0302,0.0735
4JTY29QkmdbmpMms3Midqg,0.0169,0.0266,0.0344,0.0144,0.0213,0.0277,0.0161,0.0706,0.0191,0.0179,0.0139,0.0877,0.0292,0.0259,0.0179,0.0205,0.0365,0.1821,0.0493,0.2592,0.0517,0.0204,0.0231,0.0487,0.0218,Philly Tacos,2011 Reed St,"Tacos, Event Planning & Services, Latin American, Vegetarian, Mexican, Food, Food Delivery Services, Caterers, Restaurants, Vegan, Party & Event Planning, Food Stands, Spanish, American (New), New Mexican Cuisine",4.5,85,1,,,,,,,,Small Plates & Cocktails,0.2592,5,0.8648,0.0224,0.2186,0.2258,0.0195,0.0944
SLWYIXWq2hAJAErn_icdXw,0.0219,0.0244,0.0323,0.0285,0.0225,0.0208,0.0215,0.0683,0.0162,0.026,0.0595,0.0608,0.0243,0.0706,0.0182,0.0184,0.0436,0.1436,0.0604,0.2429,0.014,0.0125,0.023,0.0482,0.0201,Factory Donuts,7114 Frankford Ave,"Coffee & Tea, Food, Donuts, Bakeries",4.5,139,1,0:0-0:0,8:0-15:0,8:0-15:0,8:0-15:0,8:0-15:0,8:0-15:0,8:0-15:0,Food Trucks & Trendy Spots,0.2429,7,0.7801,0.0218,0.228,0.2235,0.0225,0.0788
hgyKTNWEP8eeTdUm61bUrw,0.0295,0.0277,0.0715,0.019,0.0212,0.0301,0.022,0.0581,0.019,0.0199,0.0222,0.0799,0.0255,0.0301,0.0142,0.016,0.0409,0.1505,0.0463,0.2886,0.0139,0.0139,0.0208,0.0545,0.0211,Champ’s Diner,1539 Cecil B Moore Ave,"Restaurants, American (New), Diners, Salad, Breakfast & Brunch, American (Traditional)",4.0,145,1,0:0-0:0,,7:0-14:15,7:0-14:15,7:0-14:15,7:0-14:30,7:0-14:30,Brunch & Breakfast,0.2886,6,0.7242,0.0219,0.2175,0.2366,0.0263,0.0828
A4CPH0tLHOrtoTVNQcJSRQ,0.0241,0.0243,0.0191,0.0168,0.0237,0.0278,0.0234,0.0574,0.0208,0.0267,0.0243,0.0823,0.0273,0.0236,0.0216,0.0188,0.0542,0.1098,0.0555,0.3236,0.0144,0.0251,0.0234,0.0779,0.0236,Grand China Buffet,29 Franklin Mills Blvd,"Chinese, Restaurants, Buffets, Do-It-Yourself Food, Food",2.5,149,1,11:0-22:30,11:0-22:30,11:0-22:30,11:0-22:30,11:0-22:30,11:0-22:30,11:0-22:0,Value & Portion Size,0.3236,7,0.2808,0.0238,0.2202,0.2282,0.0239,0.0743
6XiTlNnstoTK3tUPkc0Gbw,0.0173,0.0256,0.0219,0.0145,0.032,0.0201,0.0252,0.1091,0.0187,0.0214,0.0157,0.0708,0.0226,0.0331,0.0148,0.0224,0.0418,0.1472,0.0595,0.282,0.0121,0.0127,0.0184,0.0533,0.0184,Barry's Steaks,471 Leverington Ave,"Chicken Wings, Restaurants, Burgers, Sandwiches, Cheesesteaks, Steakhouses",4.5,118,1,11:0-20:0,11:0-20:0,11:0-20:0,11:0-20:0,11:0-21:0,11:0-21:0,11:0-20:0,Comfort Food & Sandwiches,0.282,6,0.748,0.0235,0.2216,0.222,0.0226,0.0804
Ux1CCrhp7mqBJG5ZdmK0EA,0.0184,0.0252,0.019,0.0242,0.0224,0.0332,0.0348,0.0974,0.0231,0.0267,0.015,0.0711,0.0272,0.0239,0.0197,0.0201,0.0484,0.1294,0.0517,0.3039,0.0265,0.0232,0.0225,0.0627,0.018,Cosimos Pizza Cafe,8624 Germantown Ave,"Restaurants, Pizza",3.0,68,1,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-23:0,11:0-23:0,11:0-21:0,Comfort Food & Sandwiches,0.3039,6,0.4139,0.0281,0.2239,0.2216,0.0262,0.0773
